Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6;
Ometeotl, Supreme Sorcerer Coatl Scenique;47,00 €;50x50 mm;80 mm;Ometeotl, Supreme Sorcerer Coatl 1;Ometeotl, Supreme Sorcerer Coatl 2;Ometeotl, Supreme Sorcerer Coatl 3;Ometeotl, Supreme Sorcerer Coatl 4;Ometeotl, Supreme Sorcerer Coatl 5;Ometeotl, Supreme Sorcerer Coatl 6;Ometeotl, Supreme Sorcerer Coatl 7
Ptera Yacatli Unit x3;35,00 €;40x40 mm;50 mm;Ptera Yacatli Unit x3 1;;;;;;
Ptera Yacatli Unit x3 Scenique;42,00 €;40x40 mm;50 mm;Ptera Yacatli Unit x3 1;;;;;;
Quetzalcoatl, the Feathered Goddess;190,00 €;100x200 mm;100 mm;Quetzalcoatl, the Feathered Goddess 1;Quetzalcoatl, the Feathered Goddess 2;Quetzalcoatl, the Feathered Goddess 3;Quetzalcoatl, the Feathered Goddess 4;;;
Ripperdactyls Tlantliatzli Unit x3;35,00 €;40x40 mm;50 mm;Ripperdactyls Tlantliatzli Unit x3 1;;;;;;
Ripperdactyls Tlantliatzli Unit x3 Scenique;43,00 €;40x40 mm;50 mm;Ripperdactyls Tlantliatzli Unit x3 1;;;;;;
Tezcatlipoca, the God Kid;6,00 €;40x40 mm;50 mm;Tezcatlipoca, the God Kid 1;;;;;;
Tlaloc on Hueitechtcatl;60,00 €;100x50 mm;120x92 mm;Tlaloc on Hueitechtcatl 1;;;;;;
Tlaloc, The Osprey;20,00 €;50x50 mm;50 mm;Tlaloc, The Osprey 1;;;;;;
Tlauilokotl;39,00 €;100x50 mm;120x92 mm;Tlauilokotl 1;;;;;;
Tlauilokotl Scenique;58,00 €;100x50 mm;120x92 mm;Tlauilokotl 1;;;;;;
Tlemiahuatl 1;18,00 €;40x40 mm;50 mm;Tlemiahuatl 1 1;;;;;;
Tlemiahuatl 2;15,00 €;40x40 mm;50 mm;Tlemiahuatl 2 1;;;;;;
Tlemiahuatl 3;15,00 €;40x40 mm;50 mm;Tlemiahuatl 3 1;;;;;;
Tonatiuh,  Coatl whisperer;5,00 €;40x40 mm;50 mm;Tonatiuh,  Coatl whisperer 1;;;;;;
Yacatecuhtli, Cuetzpal Father;5,00 €;25x25 mm;32 mm;Yacatecuhtli, Cuetzpal Father 1;;;;;;
