Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Khnum Riders Etat-Major Scenique;22,00 €;50x25 mm;60x35 mm;Khnum Riders Etat-Major 1;;;;;
Khnum Riders x5;18,00 €;50x25 mm;60x35 mm;Khnum Riders x5 1;;;;;
Khnum Riders x5 Scenique;38,00 €;50x25 mm;60x35 mm;Khnum Riders x5 1;;;;;
Khufu Ship;55,00 €;100x50 mm;120x92 mm;Khufu Ship 1;;;;;
Nefertari, the PriestessMajor;5,00 €;50x25 mm;60x35 mm;Nefertari, the Priestess 1;;;;;
Nefertari, the PriestessMajor Scenique;10,00 €;50x25 mm;60x35 mm;Nefertari, the Priestess 1;;;;;
Nejbet Artifacts x3;29,00 €;40x40 mm;50 mm;Nejbet Artifacts x3 1;;;;;
Pharaoh Akhenaten on Sta Chariot;47,00 €;120x130 mm;;Pharaoh Akhenaten on Sta Chariot 1;;;;;
Sakmet Swarm Sorcerers x3;26,00 €;40x40 mm;50 mm;Sakmet Swarm Sorcerers x3 1;;;;;
Khnum Archers Etat-Major;46,00 €;100x50 mm;120x92 mm;Sand Bedouins x3 1;;;;;
Scorpion's Cursed;24,00 €;50x50 mm;60 mm;Scorpion's Cursed 1;;;;;
Seb, Headless Sorcerer;8,00 €;50x25 mm;60x35 mm;Seb, Headless Sorcerer 1;;;;;
Seb, Headless Sorcerer Scenique;10,00 €;50x25 mm;60x35 mm;Seb, Headless Sorcerer 1;;;;;
Second Dinasty Chariots Archers;15,00 €;100x50 mm;120x92 mm;Second Dinasty Chariots 1;;;;;
Second Dinasty Chariots Archers Scenique;30,00 €;100x50 mm;120x92 mm;Second Dinasty Chariots 1;;;;;
Second Dinasty Chariots Lanciers;15,00 €;100x50 mm;120x92 mm;Second Dinasty Chariots 1;;;;;
Second Dinasty Chariots Lanciers Scenique;30,00 €;100x50 mm;120x92 mm;Second Dinasty Chariots 1;;;;;
Second Dinasty Knights x5 Lanciers;24,00 €;50x25 mm;60x35 mm;Second Dinasty Knights x5 1;;;;;
Second Dinasty Knights x5 Lanciers Scenique;38,00 €;50x25 mm;60x35 mm;Second Dinasty Knights x5 1;;;;;
Second Dinasty Knights x5 Archers;24,00 €;50x25 mm;60x35 mm;Second Dinasty Knights x5 1;;;;;
Second Dinasty Knights x5 Archers Scenique;38,00 €;50x25 mm;60x35 mm;Second Dinasty Knights x5 1;;;;;
Siames Bone Colossus;17,00 €;50x50 mm;60 mm;Siames Bone Colossus 1;;;;;
Siames Bone Colossus Scenique;22,00 €;50x50 mm;60 mm;Siames Bone Colossus 1;;;;;
Skeletton Infanteries x10;10,00 €;20x20 mm;25 mm;Skeletton Infanteries x10 1;;;;;
Tomb Guardians x3;60,00 €;100x50 mm;120x92 mm;Tomb Guardians x3 1;;;;;
Ushebti;5,00 €;40x40 mm;50 mm;Ushebti 1;Ushebti 2;Ushebti 3;Ushebti 4;;
War Elephant;41,00 €;100x50 mm;120x92 mm;War Elephant 1;;;;;
War Elephant Scenique;55,00 €;100x50 mm;120x92 mm;War Elephant 1;;;;;
